cosine,jaccard,jarow,lev
0.999948997237193,0.98,0.87419392034273,0.92649667405765
0.999091135076091,0.92156862745098,0.743805255714204,0.473771397018222
0.999764955284373,1,0.812976692870051,0.864795918367347
0.999853350401953,0.978260869565217,0.839171677970967,0.96382040489076
0.999547769283443,1,0.834882379186945,0.920776818742293
0.999843198742289,1,0.847065109528367,0.970926711084191
0.999423417831724,0.977272727272727,0.841162363572372,0.960608327100474
0.999312565559233,0.98,0.693928273070904,0.344031916040686
0.999439733232107,1,0.813593176007204,0.808809904826076
0.981742557543188,0.888888888888889,0.728145890097677,0.530174032803305
0.99695944747711,0.865384615384615,0.562574547732905,0.122634823896251
0.999824245847749,0.98,0.795324560939103,0.681428525215929
0.999414771188768,0.911111111111111,0.8316211842896,0.932842415316642
0.999491282310974,1,0.818183562313645,0.355191929133858
0.999706390336896,0.980769230769231,0.775015105048631,0.584987593052109
0.9994770541213,0.92156862745098,0.754096266853988,0.437669503413448
0.998163217636242,0.92156862745098,0.825175144462728,0.542645182630062
0.999522609462194,0.959183673469388,0.788254632107712,0.698742546785525
0.999716542917062,0.959183673469388,0.796882088018093,0.762258182260616
0.999810901294297,0.979166666666667,0.834896995642995,0.737205488909985
0.994200211028926,0.72,0.581892075910168,0.169244236941932
0.999801497285119,0.957446808510638,0.820556495834402,0.87116368286445
0.999135967150632,0.957446808510638,0.779274879878591,0.551808066759388
0.999874551526587,0.958333333333333,0.819398835564603,0.803008448382444
0.999770231181444,0.978260869565217,0.822028878642215,0.62671568627451
0.999671140416319,0.979166666666667,0.751401231744369,0.606077841878606
0.999640070636967,0.979591836734694,0.769902796656494,0.462107377647918
0.999019160758977,0.979591836734694,0.722160512469634,0.499614098276306
0.999324194317957,0.979591836734694,0.794729743473372,0.550609398422733
0.998583408550195,0.924528301886792,0.689710209775799,0.304373632080721
0.99342379285305,0.959183673469388,0.739774854398333,0.61948807910055
0.983973659971241,0.7,0.626727714615806,0.222704714640198
0.998343640129596,0.959183673469388,0.805367080812511,0.64876137512639
0.999645742028615,0.978723404255319,0.831217460097586,0.814658803706824
0.9853954475444,0.78,0.535524530451148,0.0585225455708347
0.999801111740975,0.938775510204082,0.836930106715489,0.767928918976095
0.994555021532128,0.785714285714286,0.798464708434033,0.822222222222222
